ACCOUNT_KEY,ACCOUNT_NUMBER,ACCOUNT_NAME,ACCOUNT_TYPE,ACCOUNT_CATEGORY,PARENT_ACCOUNT,PRODUCT_CATEGORY,INVENTORY_TYPE,ASSET_LIABILITY_FLAG,COST_CENTER,PROFIT_CENTER,REGION,COUNTRY,TAX_CODE,GST_RATE,ACCOUNT_STATUS,CREATED_DATE,UPDATED_DATE,ACCOUNT_LEVEL,SUB_ACCOUNT,COMMENTS,CREATED_BY,UPDATED_BY,LOAD_DATE,SOURCE_SYSTEM,OPEN_DATE,CLOSE_DATE,REPORTING_GROUP,RECORD_STATUS,GOLD_CARAT
1,1001001,cash on hand,Asset,Current Asset,1001000,Antique Jewellery,,A,CC-TIFFANY_NY,PC-CARTIER_PARIS,Europe,Singapore,TC609,3,Inactive,2020-12-01,2021-01-01,1,SUB-1001001-7,Perferendis dolore dicta ad doloribus.,FINANCE_ADMIN,,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,active,
2,1001011,Cash on Hand,Asset,Current Asset,1001000,Platinum Jewellery,Gold,A,CC-TIFFANY_NY,PC-CARTIER_PARIS,,France,TC920,3,ACTIVE,2020-12-01,2021-01-01,5,,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
3,1001021,Cash on Hand,Asset,Current Asset,1001000,,Diamond,A,CC-CARTIER_PARIS,PC-HOJ_RIYADH,,Singapore,TC496,3,Active,2020-12-01,2021-01-01,4,SUB-1001021-4,,sys_user,,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,ACTIVE,
4,1001031,Cash on Hand,Asset,Current Asset,1001000,Antique Jewellery,Silver,A,CC-HOJ_SYDNEY,PC-HOJ_RIYADH,Asia Pacific,Australia,TC305,3,ACTIVE,2020-12-01,,5,SUB-1001031-6,Dolor rem possimus iure nam totam.,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,,Balance Sheet,ACTIVE,
5,1001002,Bank Account - Current,Asset,Current Asset,1001000,Antique Jewellery,Diamond,A,CC-HOJ_LONDON,PC-HOJ_SYDNEY,Asia Pacific,Singapore,TC232,3,Active,2020-12-01,2021-01-01,3,,Itaque reiciendis pariatur voluptates.,admin,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Balance Sheet,Active,
6,1001012,Bank Account - Current,Asset,Current Asset,1001000,Silver Jewellery,Gold,A,CC-HOJ_SINGAPORE,PC-HOJ_TORONTO,North America,Canada,,3,Active,2020-12-01,2021-01-01,5,SUB-1001012-5,Et quidem ipsam repellendus tempora incidunt tenetur ipsum.,sys_user,finance_mgr,2026-06-17,GitHub,2021-01-01,,Cash Flow,active,
7,1001022,Bank Account - Current,Asset,Current Asset,1001000,Wedding Collection,,A,CC-DUBAI_GOLD,PC-CARTIER_PARIS,Middle East,Singapore,TC835,3,Inactive,2020-12-01,2021-01-01,3,SUB-1001022-9,,sys_user,,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,Active,
8,1001032,Bank Account - Current,Asset,Current Asset,1001000,Antique Jewellery,Silver,A,CC-TIFFANY_NY,PC-HOJ_SINGAPORE,Asia Pacific,Saudi Arabia,TC192,3,active,2020-12-01,2021-01-01,3,,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,P&L,Active,
9,1002001,Accounts Receivable,Asset,Current Asset,1002000,,Gold,A,CC-HOJ_DOHA,,Asia Pacific,Australia,TC738,3,Active,2020-12-01,2021-01-01,3,SUB-1002001-6,,admin,,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,Active,
10,1002011,Accounts Receivable,Asset,Current Asset,1002000,,,A,CC-HOJ_TORONTO,PC-CARTIER_PARIS,Middle East,Australia,TC645,3,Inactive,2020-12-01,,3,SUB-1002011-2,,FINANCE_ADMIN,finance_mgr,2026-06-17,GitHub,2021-01-01,2099-12-31,Cash Flow,ACTIVE,
