product_key,product_name,category,material,purity,style,price_tier
1,22K Gold Necklace,Necklace,Gold,22.0,Arabic Traditional,Premium
2,Diamond Solitaire Ring,Ring,Diamond,,Modern,Luxury
3,21K Gold Bangles Set,Bangles,Gold,21.0,Arabic Traditional,Premium
4,Diamond Tennis Bracelet,Bracelet,Diamond,,Modern,Luxury
5,18K Gold Earrings,Earrings,Gold,18.0,Modern,Mid-Range
6,Platinum Wedding Ring,Ring,Platinum,,Bridal,Luxury
7,Rose Gold Pendant,Pendant,Gold,18.0,Modern,Mid-Range
8,22K Gold Chain,Chain,Gold,22.0,Arabic Traditional,Premium
9,Emerald & Gold Set,Set,Gemstone,,Royal,Luxury
10,Bridal Gold Set (Full),Bridal Set,Gold,22.0,Bridal,Luxury
11,Oud-inspired Gold Bangle,Bangles,Gold,21.0,Arabic Traditional,Premium
12,Diamond Halo Necklace,Necklace,Diamond,,Modern,Luxury
13,Silver Charm Bracelet,Bracelet,Silver,925.0,Modern,Budget
14,Vintage Pearl Necklace,Necklace,Pearl,,Fusion,Premium
15,24K Gold Bar Pendant,Pendant,Gold,24.0,Investment,Premium
